artist,chart
for KING & COUNTRY,christian-albums
Hillsong UNITED,christian-albums
Hillsong Worship,christian-albums
Zach Williams,christian-albums
Maverick City Music,christian-albums
Chris Tomlin,christian-albums
Matt Maher,christian-albums
Matthew West,christian-albums
Cody Carnes,christian-albums
Crowder,christian-albums
"Bethel Music, Jonathan David Helser & Melissa Helser",christian-streaming-songs
Casting Crowns Featuring Matthew West,christian-streaming-songs
Bethel Music & Jenn Johnson,christian-streaming-songs
Matt Redman,christian-streaming-songs
Vertical Worship,christian-streaming-songs
Hope Darst,christian-airplay
Zach Williams & Dolly Parton,christian-airplay
Andrew Ripp,christian-airplay
Cade Thompson,christian-airplay
Matty Mullins,christian-airplay
Stars Go Dim,christian-airplay
Blanca,christian-airplay
Dan Bremnes,christian-airplay
David Dunn,christian-airplay
LEDGER,christian-airplay
Apollo LTD,christian-airplay
Joel Vaughn,christian-airplay
Tenth Avenue North Featuring The Young Escape,christian-airplay
Kirk Franklin,gospel-songs
Charles Jenkins & Fellowship Chicago,gospel-songs
Deitrick Haddon,gospel-songs
Pastor Mike Jr.,gospel-songs
Travis Greene,gospel-songs
Jermaine Dolly Featuring Maranda Curtis,gospel-songs
The Clark Sisters,gospel-songs
Kierra Sheard Featuring Tasha Cobbs Leonard,gospel-songs
Anthony Brown & group therAPy,gospel-songs
Fred Hammond,gospel-songs
PJ Morton Featuring Le'Andria Johnson & Mary Mary,gospel-songs
Tye Tribbett,gospel-songs
Jonathan McReynolds & Mali Music,gospel-songs
Earnest Pugh,gospel-songs
Byron Cage,gospel-songs
Donnie McClurkin,gospel-songs
Kierra Sheard,gospel-songs
Demetrius West & Jesus Promoters,gospel-songs
Darius Paulk,gospel-songs
Fresh Start Worship Featuring Sarai,gospel-songs
Todd Dulaney,gospel-songs
Jonathan McReynolds,gospel-songs
Tasha Cobbs Leonard,gospel-albums
Sunday Service,gospel-albums
Marvin Sapp,gospel-albums
Koryn Hawthorne,gospel-albums
Tasha Cobbs,gospel-albums
Donald Lawrence Presents The Tri-City Singers,gospel-albums
Tamela Mann,gospel-albums
Yolanda Adams,gospel-albums
Mary Mary,gospel-albums
Tori Kelly,gospel-albums
Tasha Cobbs Leonard Featuring Jimi Cravity,gospel-streaming-songs
Donald Lawrence Presents The Tri-City Singers Featuring Le'Andria Johnson,gospel-streaming-songs
Hezekiah Walker & LFC Featuring Marvin Sapp & DJ Rogers,gospel-streaming-songs
Tasha Cobbs Leonard Featuring Kierra Sheard,gospel-streaming-songs
Kanye West Featuring Clipse & Kenny G,gospel-streaming-songs
Fred Hammond & Radical For Christ,gospel-streaming-songs
Keyla Richardson,gospel-airplay
Ricky Dillard Featuring TIFF JOY,gospel-airplay
Jekalyn Carr,gospel-airplay
Fred Jerkins Featuring Trin-I-Tee 5:7,gospel-airplay
Keyondra Lockett,gospel-airplay
BeBe Winans,gospel-airplay
Rev. Luther Barnes And The Restoration Worship Center Choir,gospel-airplay
L. Spenser Smith,gospel-airplay
Titus Showers Featuring Jermaine Dolly,gospel-airplay
Lexi,gospel-airplay
Sharon Roshell,gospel-airplay
G.I.,gospel-airplay
Maurice Griffin,gospel-airplay
Jason Clayborn & The Atmosphere Changers Featuring Matthew Austin & Isaiah Freeman,gospel-airplay
The Edwin Hawkins' Singers Featuring Dorothy Combs Morrison,gospel-digital-song-sales
Hezekiah Walker,gospel-digital-song-sales
The Sounds Of Blackness,gospel-digital-song-sales
Whitney Houston & Mariah Carey,gospel-digital-song-sales
Yiruma,classical-albums
The Piano Guys,classical-albums
Lang Lang,classical-albums
Max Richter,classical-albums
Helen Jane Long,classical-albums
HAUSER / London Symphony Orchestra,classical-albums
David Darling,classical-albums
London Philharmonic Orchestra,classical-albums
Andrea Bocelli,classical-albums
Classical Lullabies For Babies Academy,classical-albums
London Symphony (Williams),classical-albums
Lindsey Stirling,classical-albums
Yo-Yo Ma,classical-albums
Chad Lawson,classical-albums
The London Symphony Orchestra And London Voices (John Williams),classical-albums
Daniel Barenboim,classical-albums
Jonathan Antoine,classical-crossover-albums
David Foster,classical-crossover-albums
Rod Stewart With The Royal Philharmonic Orchestra,classical-crossover-albums
Il Volo,classical-crossover-albums
Ride /// Petr Aleksander,classical-crossover-albums
Dessa And The Minnesota Orchestra,classical-crossover-albums
Peter Bence,classical-crossover-albums
Jackie Evancho,classical-crossover-albums
Peter Hollens,classical-crossover-albums
Vikingur Olafsson,traditional-classic-albums
Cappella Romana,traditional-classic-albums
Jonas Kaufmann/Wiener Philharmoniker/Adam Fischer,traditional-classic-albums
Trevor Pinnock,traditional-classic-albums
Sheku Kanneh-Mason/London Symphony Orchestra/Sir Simon Rattle,traditional-classic-albums
Timo Andres,traditional-classic-albums
Kate Lindsey / Arcangelo / Jonathan Cohen,traditional-classic-albums
Stephen Hough / Finnish Radio Symphony Orchestra / Hannu Lintu,traditional-classic-albums
Luka Sulic / Archi dell'Accademia di Santa Cecilia,traditional-classic-albums
Los Angeles Philharmonic / Gustavo Dudamel / Yuja Wang,traditional-classic-albums
Alisa Weilerstein,traditional-classic-albums
Gloriae Dei Cantores / Richard K. Pugsley,traditional-classic-albums
Miles Davis,jazz-albums
Louis Armstrong,jazz-albums
Michael Buble,jazz-albums
Tom Misch & Yussef Dayes,jazz-albums
Robert Glasper,jazz-albums
Frank Sinatra With Count Basie And His Orchestra,jazz-albums
The Dave Brubeck Quartet,jazz-albums
Glenn Miller,jazz-albums
Ella Fitzgerald & Louis Armstrong,jazz-albums
Tom Misch,jazz-albums
Bobby Caldwell,jazz-albums
Vince Guaraldi Trio,jazz-albums
Boney James,jazz-albums
Al Jarreau,contemporary-jazz
Shabaka And The Ancestors,contemporary-jazz
Paul Hardcastle,contemporary-jazz
Brian Culbertson,contemporary-jazz
Norman Brown,contemporary-jazz
Chris Botti,contemporary-jazz
FKJ,contemporary-jazz
Stan Getz And Joao Gilberto Featuring Antonio Carlos Jobim,traditional-jazz-albums
Nina Simone,traditional-jazz-albums
Brian Culbertson Featuring Mr. Talkbox & Marcus Anderson,jazz-songs
Darren Rahn,jazz-songs
Skinny Hightower,jazz-songs
Adam Hawley Featuring Jeff Ryan,jazz-songs
Vincent Ingala,jazz-songs
Nick Colionne,jazz-songs
Joyce Cooling,jazz-songs
Lebron,jazz-songs
Paula Atherton,jazz-songs
Daryl Beebe,jazz-songs
Marcus Anderson Featuring Tim Bowman,jazz-songs
Carol Albert,jazz-songs
David Benoit,jazz-songs
Ken Navarro,jazz-songs
Ben Tankard,jazz-songs
Peter White,jazz-songs
Will Donato,jazz-songs
Michael J Thomas,jazz-songs
Kim Scott Featuring Jazmin Ghent,jazz-songs
Greg Manning Featuring Darrell Crooks,jazz-songs
Roman Street,jazz-songs
Catie Waters,jazz-songs
Kirk Whalum Featuring Ghetto Classics & Aaron Rimbui,jazz-songs
Alex Parchment Featuring Phillip Doc Martin,jazz-songs
Peet Project Featuring Paul Brown,jazz-songs
Jarez Featuring Julian Vaughn,jazz-songs
Michael Lington Featuring Ray Parker Jr.,jazz-songs
Chris Standring,jazz-songs
Four80East,jazz-songs
Powfu,emerging-artists
NLE Choppa,emerging-artists
42 Dugg,emerging-artists
JP Saxe,emerging-artists
Giveon,emerging-artists
beabadoobee,emerging-artists
BIA,emerging-artists
Gus Dapperton,emerging-artists
Noah Cyrus,emerging-artists
IU,emerging-artists
Madison Beer,emerging-artists
surf mesa,emerging-artists
Skip Marley,emerging-artists
DripReport,emerging-artists
The Hu,emerging-artists
Alec Benjamin,heatseekers-albums
Flipp Dinero,heatseekers-albums
Fredo Bang,heatseekers-albums
Baby Keem,heatseekers-albums
Kina,heatseekers-albums
DaniLeigh,heatseekers-albums
Snoh Aalegra,heatseekers-albums
Lil Gotit,heatseekers-albums
2KBABY,heatseekers-albums
Liam Payne,heatseekers-albums
$not,heatseekers-albums
Young T & Bugsey,heatseekers-albums
Little Richard,lyricfind-global
Little Mix,lyricfind-global
Jax Jones & Ella Henderson,lyricfind-global
Ed Sheeran Featuring Camila Cabello & Cardi B,lyricfind-global
Anne-Marie,lyricfind-global
Rita Ora,lyricfind-global
Vera Lynn,lyricfind-global
Mabel,lyricfind-global
Callum Beattie,lyricfind-us
Jill Scott,lyricfind-us
Jann Arden,lyricfind-us
Kraftwerk,lyricfind-us
Daddy Yankee & Katy Perry Featuring Snow,lyricfind-us
Lennon Stella,next-big-sound-25
Rina Sawayama,next-big-sound-25
Guapdad 4000,next-big-sound-25
Bobby Helms,hot-holiday-songs
Burl Ives,hot-holiday-songs
Jose Feliciano,hot-holiday-songs
Dean Martin,hot-holiday-songs
Nat King Cole,hot-holiday-songs
The Ronettes,hot-holiday-songs
Gene Autry,hot-holiday-songs
Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra,hot-holiday-songs
Darlene Love,hot-holiday-songs
Chuck Berry,hot-holiday-songs
Perry Como,hot-holiday-songs
Bing Crosby,hot-holiday-songs
Thurl Ravenscroft,hot-holiday-songs
John & Yoko/The Plastic Ono Band With The Harlem Community Choir,hot-holiday-songs
Eartha Kitt,hot-holiday-songs
Bing Crosby & The Andrews Sisters,hot-holiday-songs
Jimmy Durante,hot-holiday-songs
Jackson 5,hot-holiday-songs
Pentatonix,hot-holiday-songs
Trans-Siberian Orchestra,hot-holiday-songs
Donny Hathaway,hot-holiday-songs
John Legend Featuring Stevie Wonder,hot-holiday-songs
Band-Aid,hot-holiday-songs
Ray Conniff,hot-holiday-songs
John Williams,hot-holiday-songs
Johnny Mathis,hot-holiday-songs
The Drifters,hot-holiday-songs
Gwen Stefani Featuring Blake Shelton,hot-holiday-songs
Alessia Cara,hot-holiday-songs
Kacey Musgraves Featuring Camila Cabello,hot-holiday-songs
Arthur Fiedler / Boston Pops Orchestra,hot-holiday-songs
Mannheim Steamroller,holiday-albums
Boris Karloff / Thurl Ravenscroft,holiday-albums
George Winston,holiday-albums
Idina Menzel,holiday-albums
Ella Fitzgerald,holiday-albums
Kenny Rogers & Dolly Parton,holiday-albums
Leroy Anderson,holiday-songs
Ray Conniff And The Ray Conniff Singers,holiday-songs
Run-D.M.C.,holiday-songs
Brett Eldredge Featuring Meghan Trainor,holiday-songs
Frank Sinatra With Cyndi Lauper,holiday-songs
Guy Lombardo,holiday-season-digital-song-sales
"Kristen Bell, Agatha Lee Monn & Katie Lopez",holiday-season-digital-song-sales
The Waitresses,holiday-season-digital-song-sales
Jake Hoot & Kelly Clarkson,holiday-season-digital-song-sales
Why Don't We,holiday-season-digital-song-sales
Macklemore Featuring Dan Caplen,holiday-season-digital-song-sales
Celtic Woman,holiday-season-digital-song-sales
Gayla Peevey,holiday-season-digital-song-sales
Home Free,holiday-season-digital-song-sales
Sam Smith & Normani,summer-songs
Drake Featuring Rick Ross,summer-songs
Polo G Featuring Lil Tjay,summer-songs
ArtistsCAN,canadian-hot-100
Loud Luxury,canadian-hot-100
Dean Brody x The Reklaws,canadian-hot-100
Virginia To Vegas,canadian-hot-100
Tyler Joe Miller,canadian-hot-100
Elijah Woods x Jamie Fine,canadian-hot-100
Tate McRae,canadian-hot-100
Brett Kissel,canadian-hot-100
FouKi Featuring Alicia Moffet,canadian-hot-100
The Tragically Hip,canadian-albums
Creedence Clearwater Revival Featuring John Fogerty,canadian-albums
Johnny Reid,hot-canada-digital-song-sales
Michael Buble / Barenaked Ladies / Sofiaa Reyes,hot-canada-digital-song-sales
Les Cowboys Fringants,hot-canada-digital-song-sales
The Reklaws,hot-canada-digital-song-sales
Loud Luxury & Bryce Vine,canada-emerging-artists
Young Bombs Featuring Aloe Blacc,canada-emerging-artists
Loud Luxury x Anders,canada-emerging-artists
Felix Cartal & LIGHTS,canada-emerging-artists
Arkells,canada-emerging-artists
Tim & The Glory Boys,canada-emerging-artists
Ryland James,canada-emerging-artists
Jj Wilde,canada-emerging-artists
Jessie Reyez Featuring Eminem,canada-emerging-artists
Bulow,canada-emerging-artists
Tenille Townes,canada-emerging-artists
Daniel Caesar Featuring H.E.R.,canada-emerging-artists
Walk Off The Earth,canada-ac
Tyler Shaw,canada-ac
Ria Mae & Dan Talevski,canada-ac
Alex Nevsky,canada-ac
James Blunt,canada-ac
Tibz,canada-ac
2Freres,canada-ac
Nea,canada-ac
GIMS & Sting,canada-ac
Samantha Neves,canada-ac
Jonathan Roy,canada-ac
Alexander Stewart,canada-ac
Alexandre Poulin,canada-ac
Ian Kelly,canada-ac
Aaron Goodvin,canada-all-format-airplay
Chad Brownlee,canada-all-format-airplay
Tim Hicks,canada-all-format-airplay
Kiesza,canada-chr-top-40
Classified Featuring Breagh Isabel,canada-chr-top-40
Shawn Hook,canada-chr-top-40
Felix Cartal with Sophie Simmons,canada-chr-top-40
Neon Dreams,canada-chr-top-40
Black Atlass,canada-chr-top-40
James Barker Band,canada-country
High Valley,canada-country
Dallas Smith,canada-country
Alee,canada-country
Meghan Patrick,canada-country
Jess Moskaluke,canada-country
Eric Ethridge,canada-country
Hot Country Knights Featuring Travis Tritt,canada-country
Gord Bamford,canada-country
Andrew Hyatt,canada-country
Jojo Mason,canada-country
Owen Barney,canada-country
Billy Talent,canada-rock
The Beaches,canada-rock
July Talk,canada-rock
Hotel Mira,canada-rock
Headstones,canada-rock
Big Sugar,canada-rock
Monowhales,canada-rock
Ruby Waters,canada-rock
The Unlikely Candidates,canada-rock
Elwins,canada-rock
Royal Tusk,canada-rock
Anyway Gang,canada-rock
Ferraro,canada-rock
Half Moon Run,canada-rock
Jackie,canada-rock
Volbeat Featuring Neil Fallon,canada-rock
Piso 21,mexico
La Adictiva,mexico
Jary Franco,mexico
RESISTIRE MEXICO,mexico
Chayin Rubio,mexico
Los Rojos,mexico
Brian Sandoval,mexico
LAGOS & Las Villa,mexico
Danna Paola,mexico
El Bebeto,mexico
Mati Gomez X Nicky Jam X Reik,mexico
David Bisbal & Aitana,mexico
HOSH & 1979 Featuring Jalja,mexico
New Rules,mexico-ingles
Grupo Firme Featuring Banda Coloso,mexico-popular
Alfredo Olivas,mexico-popular
Luis Coronel,mexico-popular
Morenito de Fuego & Leandro Rios,mexico-popular
Beele & Ovy On The Drums,mexico-espanol
Ximena Sarinana,mexico-espanol
Giulia Be,mexico-espanol
ROSALIA,mexico-espanol
Mijares,mexico-espanol
Manuel Turizo,mexico-espanol
Nicole Gatti,mexico-espanol
Sofia Reyes,mexico-espanol
Official Hige Dandism,japan-hot-100
LiSA,japan-hot-100
Eito,japan-hot-100
YOASOBI,japan-hot-100
King Gnu,japan-hot-100
Hikaru Utada,japan-hot-100
Aimyon,japan-hot-100
Masaki Suda,japan-hot-100
yorushika,japan-hot-100
The Snowman,japan-hot-100
Uru,japan-hot-100
Rinne,japan-hot-100
DISH//,japan-hot-100
Mrs. GREEN APPLE,japan-hot-100
Ken Hirai Feat. Aimyon,japan-hot-100
Kenshi Yonezu,japan-hot-100
Leo Ieiri,japan-hot-100
SixTONES,japan-hot-100
iTZY,japan-hot-100
RADWIMPS,japan-hot-100
Kami Ha Saikoro Wo Furanai,japan-hot-100
STPR,japan-hot-100
[Alexandros],japan-hot-100
Gen Hoshino,japan-hot-100
Snow Man,japan-hot-100
Masayuki Suzuki Feat. Suzuki Airi,japan-hot-100
Foorin,japan-hot-100
Wiz Khalifa Featuring Charlie Puth,japan-hot-100
Ryokuoushokushakai,japan-hot-100
Novelbright,japan-hot-100
wacci,japan-hot-100
The Chainsmokers Feat. Mackenyu Arata,japan-hot-100
Koutaro Nishiyama,japan-hot-100
Chanmina,japan-hot-100
MAMAMOO,japan-hot-100
JO1,japan-hot-100
Sukima Switch,japan-hot-100
Mrs. GREEN APPLE Feat. Sonoko Inoue,japan-hot-100
back number,japan-hot-100
Zutto Mayonaka De Iinoni,japan-hot-100
Colon,japan-hot-100
BTS Featuring Halsey,japan-hot-100
Superfly,japan-hot-100
Sakanaction,japan-hot-100
ONE OK ROCK,japan-hot-100
Daoko X Kehshi Yonezu,japan-hot-100
Mr. Children,japan-hot-100
ARASHI,japan-hot-100
J-JUN,japan-hot-100
HKT48,japan-hot-100
The JuJu,japan-hot-100
Cho Jung Seok,k-pop-hot-100
Apink,k-pop-hot-100
Gaho,k-pop-hot-100
Jang Beom June,k-pop-hot-100
M.C. The Max,k-pop-hot-100
Ha Hyun Woo,k-pop-hot-100
Joy,k-pop-hot-100
ZICO,k-pop-hot-100
CHANGMO,k-pop-hot-100
Kim Feel,k-pop-hot-100
(G)I-DLE,k-pop-hot-100
Red Velvet,k-pop-hot-100
IZ*ONE,k-pop-hot-100
Noel,k-pop-hot-100
AKMU,k-pop-hot-100
Urban Zakapa,k-pop-hot-100
Paul Kim,k-pop-hot-100
Jin Minho,k-pop-hot-100
Kwak Jineon,k-pop-hot-100
Maktub,k-pop-hot-100
OVAN,k-pop-hot-100
KYUHYUN,k-pop-hot-100
WINNER,k-pop-hot-100
Kwon Jin Ah,k-pop-hot-100
"Pengsoo, Tiger JK, Bizzy, BIBI",k-pop-hot-100
HYNN,k-pop-hot-100
Yerin Baek,k-pop-hot-100
"MC MONG, KIM JAE HWAN (Feat. PENOMECO)",k-pop-hot-100
April,k-pop-hot-100
Me After You,k-pop-hot-100
SUHO,k-pop-hot-100
TAEYEON,k-pop-hot-100
V.O.S,k-pop-hot-100
JANNABI,k-pop-hot-100
Monday Kiz,k-pop-hot-100
Jang Deok Cheol,k-pop-hot-100
Solar,k-pop-hot-100
Jeon Sang Keun,k-pop-hot-100
SUHO (Feat. Younha),k-pop-hot-100
Han Dong Geun,k-pop-hot-100
Davichi,k-pop-hot-100
Lim Jae Hyun (prod. 2soo),k-pop-hot-100
"ZICO, KANG DANIEL",k-pop-hot-100
J Rabbit,k-pop-hot-100
Inwook Hwang,k-pop-hot-100
Gaeko (Feat. Heize),k-pop-hot-100
Jay Park,k-pop-hot-100
The SeeYa,k-pop-hot-100
Giriboy,k-pop-hot-100
Ben,k-pop-hot-100
Huh Gak,k-pop-hot-100
10cm,k-pop-hot-100
"Leellamarz (Feat. ASH ISLAND, KEEM HYO-EUN, Hash Swan, CHANGMO) (Prod. TOIL)",k-pop-hot-100
Rauw Alejandro,billboard-argentina-hot-100
Feid & Justin Quiles,billboard-argentina-hot-100
Camilo & Evaluna Montaner,billboard-argentina-hot-100
"Rauw Alejandro, Dalex & Lenny Tavarez Feat. Dimelo Flow",billboard-argentina-hot-100
Dalex & Lenny Tavarez,billboard-argentina-hot-100
Beele,billboard-argentina-hot-100
"Ovy On The Drums, Beele",billboard-argentina-hot-100
"Ovy On The Drums, Tini",billboard-argentina-hot-100
Mau y Ricky & Tini,billboard-argentina-hot-100
"Lunay, Daddy Yankee & Bad Bunny",billboard-argentina-hot-100
"Agapornis & Hernan Y La Champion's Liga, Lauro",billboard-argentina-hot-100
Camilo + Pedro Capo,billboard-argentina-hot-100
"ROSALIA, J. Balvin & El Guincho",billboard-argentina-hot-100
Pitbull x El Chombo x Karol G Featuring Cutty Ranks,billboard-argentina-hot-100
Nicky Jam & Anuel AA,billboard-argentina-hot-100
Lalo Ebratt & Tini,billboard-argentina-hot-100
Sebastian Yatra x Ricky Martin,billboard-argentina-hot-100
Javiielo,billboard-argentina-hot-100
ROSALIA & Ozuna,billboard-argentina-hot-100
Khea,billboard-argentina-hot-100
Tini Greeicy,billboard-argentina-hot-100
Don Patricio Featuring Cruz Cafune,billboard-argentina-hot-100
Mau y Ricky & Camilo,billboard-argentina-hot-100
"Justin Quiles Featuring Natti Natasha, Farruko, Zion, Dalex & Lenny Tavarez",billboard-argentina-hot-100
Thalia & Natti Natasha,billboard-argentina-hot-100
Los Nota Lokos,billboard-argentina-hot-100
Becky G + Natti Natasha,billboard-argentina-hot-100
Abel Pintos Feat. Beatriz Luengo,billboard-argentina-hot-100
Anuel AA & Karol G,billboard-argentina-hot-100
Maria Becerra,billboard-argentina-hot-100
TINI & Sebastian Yatra,billboard-argentina-hot-100
Oriana,billboard-argentina-hot-100
Maluma Featuring Ricky Martin,billboard-argentina-hot-100
John C,billboard-argentina-hot-100
Karol G & Maluma,billboard-argentina-hot-100
"Rich Music Ltd, Sech, Dalex Feat. Justin Quiles, Lenny Tavárez, Feid",billboard-argentina-hot-100
Mariah x Arcangel x Darell,billboard-argentina-hot-100
S1mba Featuring DTG,official-uk-songs
AJ Tracey Featuring Mostack,official-uk-songs
Aitch X AJ Tracey Featuring Tay Keith,official-uk-songs
KSI Featuring Swarmz & Tion Wayne,official-uk-songs
Gerry Cinnamon,official-uk-albums
Yxng Bane,official-uk-albums
Tide Lines,official-uk-albums
Amanda Holden,uk-digital-song-sales
"Michael Ball, Capt. Tom Moore & The Vocies Of Care Choir",uk-digital-song-sales
Mark Forster,euro-digital-song-sales
Gene Kelly & MGM Studio Orchestra,euro-digital-song-sales
Pablo Alboran,euro-digital-song-sales
Aitana,euro-digital-song-sales
Ava Max,euro-digital-song-sales
Michael Patrick Kelly,euro-digital-song-sales
Idir,france-digital-song-sales
Et demain ? Le Collectif,france-digital-song-sales
Benjamin Biolay,france-digital-song-sales
Capital Bra X Loredana,germany-songs
Ufo361,germany-songs
Shirin David,germany-songs
Kontra K,germany-songs
Luciano,germany-songs
Frei.Wild,german-albums
Ramon Roselly,german-albums
Swiss & Die Andern,german-albums
Edo Saiya,german-albums
Die Schlagerpiloten,german-albums
Kerstin Ott,german-albums
Santiano,german-albums
Nightwish,german-albums
Samra,german-albums
Eleftheria Arvanitaki Featuring Themis Karamouratidis & Lida Roumani,greece-albums
"Thodoris Voutsikakis, Nicolaa Piovani & Lina Nikolakopoulou",greece-albums
Minos Matsas,greece-albums
Stelios Salvador & Mora Sti Fotia,greece-albums
Manos Hadjidakis,greece-albums
Ghali,italy-albums
Dani Faiv,italy-albums
Marracash,italy-albums
tha Supreme,italy-albums
Pinguini Tattici Nucleari,italy-albums
Ultimo,italy-albums
GAIA,italy-digital-song-sales
Ermal Meta,italy-digital-song-sales
Mr Rain,italy-digital-song-sales
Loredana Errore,italy-digital-song-sales
Achille Lauro Featuring Gow Tribe,italy-digital-song-sales
Pablo Lopez,spain-digital-song-sales
Manuel Carrasco,spain-digital-song-sales
Paloma Mami,spain-digital-song-sales
Luis Fonsi & Demi Lovato,spain-digital-song-sales
Vitaa & Slimane,switzerland-digital-song-sales
Birds Of Tokyo,australian-albums
Hilltop Hoods,australia-digital-song-sales
Endor,australia-digital-song-sales
Dave Alvin,blues-albums
David Grissom,blues-albums
Marcus King,blues-albums
"Christone ""Kingfish"" Ingram",blues-albums
Robert Cray Band,blues-albums
The Teskey Brothers,blues-albums
David Bromberg Band,blues-albums
Keb' Mo',blues-albums
Peter Frampton Band,blues-albums
Kenny Wayne Shepherd Band,blues-albums
Will Bernard,blues-albums
Beth Hart,blues-albums
Samantha Fish,blues-albums
John Primer & Bob Corritore,blues-albums
Tedeschi Trucks Band,blues-albums
Chris Young,bubbling-under-hot-100-singles
Original Broadway Cast Recording,cast-albums
Original London Cast Recording,cast-albums
Studio Cast Recording,cast-albums
Cast Recording,cast-albums
World Premiere Cast Recording,cast-albums
Lil Dicky,comedy-albums
Afroman,comedy-albums
"""Weird Al"" Yankovic",comedy-albums
Biz Markie,comedy-albums
The Lonely Island,comedy-albums
Ray Stevens,comedy-albums
Cedarmont Kids,kids-albums
Roger St. Denis,new-age-albums
Steven Halpern,new-age-albums
Deuter,new-age-albums
Sean Paul,reggae-albums
Stick Figure,reggae-albums
J Boog,reggae-albums
Rebelution,reggae-albums
Those Pretty Wrongs,tastemaker-albums
Primus,tastemaker-albums
Widespread Panic,tastemaker-albums
Earl Sweatshirt,tastemaker-albums
Rick Ross,tastemaker-albums
Ben Lukas Boysen,tastemaker-albums
Brendan Benson,tastemaker-albums
"Israel ""IZ"" Kamakawiwo'Ole",world-albums
Beyonce & Various Artists,world-albums
Davido,world-albums
Burna Boy,world-albums
The Hu Featuring Lzzy Hale,world-digital-song-sales
"Mason Lieberman, Yoko Kanno, Shihori, Uyanga Bold, Raj Ramayya, Substantial, Mega Ran & Red Rapper",world-digital-song-sales
Mahmood Khan,world-digital-song-sales
Chung Ha,world-digital-song-sales
The Hu Featuring From Ashes To New,world-digital-song-sales
Manu Pilas,world-digital-song-sales
Stonebwoy & Keri Hilson,world-digital-song-sales
Rammstein,world-digital-song-sales
dj 6rb & Bonde R300 Featuring XANG & Mayklove,world-digital-song-sales
Carmen Twillie & Lebo M,world-digital-song-sales
